#,ID,Product (EN)
1,,"1,2,3  20 TAB."
2,,1.2.3 SYRUP
3,,4 WET INTIMATE GEL
4,,5-FLUOROURACIL EBEWE 50mg/ml I.V.amp.
5,,5FU 500mg/10ml  1 vial
6,,A 1 BABY CREAM
7,,A ONE 100GM SOAP
8,,A1 100GRAM CREAM
9,,A1 ﬂ—Ì„ «·»‰›”ÃÏ €«„ﬁ
10,,A1 ﬂ—Ì„ «·”„«ÊÏ
11,,A1 ﬂ—Ì„ «·Ê—œÏ
12,,A1 ﬂ—Ì„ »«·«Œ÷—
13,,A1 ﬂ—Ì„ »«·⁄”·
14,,ABEVAC 1mg/ml vial
15,,ABILAXINE 10MG ADULT SUPP.
16,,ABILAXINE 5 MG  20TAB.
17,,ABILAXINE 5MG INFANTILE SUPP.
18,,ABILIA 15mg f.c. tab.
19,,ABILIA 20mg f.c. tab.
20,,ABILIFY 10MG TAB.
21,,ABILIFY 15MG DISCMELT ORALLY DISINTEGRAT
22,,ABILIFY 15MG TAB.
23,,ABILIFY 5MG TAB
24,,ABIMOL 150MG/5ML SYRUP
25,,ABIMOL 20TAB
26,,ABIMOL 300MG  RECTAL 5 SUPP
27,,ABIMOL EXTRA 20TAB
28,,ABIONE 60GRAM CREAM
29,,ACAPRIL 20MG TAB.
30,,ACAPRIL 5 MG TAB.
31,,ACC 200MG  20SACHETS
32,,ACC LONG 600mg  10effervescent tab.
33,,ACCU-CHEK ACTIVE 50‘—Ìÿ
34,,ACCU-CHEK GO 50‘—Ìÿ
35,,ACESOLV 2% SYRUP
36,,ACETAMEX 250MG  20TAB.
37,,ACETOFUL FOR WOMEN.
38,,ACETORPHAN CHILDREN 30MG  10SACHET
39,,ACETORPHAN INFANT 10MG  10SACHETS
40,,ACETYLCICTEIN 600 MG EFF 10 SACHETS
41,,ACETYLCISTEIN 200MG  10 SACHETS
42,,ACHTENON  2MG  20TAB.
43,,ACICONE  120ML SUSPENSION
44,,ACICONE 200ML SUSPENSION
45,,ACICONE CHEWABLE TAB.
46,,ACICONE -S 120ML oral susp.
47,,ACICONE -S 200ML ORAL SUSP
48,,ACICONE-S CHEWABLE TAB.
49,,ACIDIPAN  SUSP
50,,ACILIGHT 75MG  20TAB.
51,,ACILIGHT150MG TABS
52,,ACILOC 150MG  5EFF.GRANULES
53,,ACILOC 300MG 20 FILM COATED TABLET
54,,ACILOC 75MG FILM 20 F.C. TABLET
55,,ACITRETIN 25MG 30 CAPS.
56,,ACIVIRAX 800MG 20 TAB
57,,ACLASTA 5MG/100ML SOLN. FOR INF.
58,,ACNE BENZ TOPICAL GEL
59,,ACNE BIOTIC TOPICAL PAINT 15 ML
60,,ACNE FREE 0.02% GEL
61,,ACNE FREE 0.05% CREAM
62,,ACNE ZINC TOPICAL LOTION 20 ML
63,,ACNEFENCE GEL 50 GM
64,,ACNE-JED 0.1% TOPICAL GEL
65,,ACNESCAVE 0.1% 30GM TOPICAL GEL
66,,ACNESEPT 80 GRAM SOAP
67,,ACNESOL 100GRAM SOAP
68,,ACNE-STOP 250ML FACIAL WASH
69,,ACNE-STOP 30GRAM CREAM
70,,ACNE-STOP SYSTEM (CREAM+WASH)
71,,ACNETIN- A 0.025G/100G GEL
72,,ACNETIN- A 0.05% cream
73,,ACNETIN- A 0.05% TOPICAL SOLUTION
74,,ACNEVERA 80GRAM SOAP
75,,ACNI-CARE 2% LOTION 25 ML
76,,ACNI-CARE 2% TOP. GEL.
77,,ACNITAZ 0.1% TOPICAL GEL. 15 GM
78,,ACRETIN 0.025% CREAM 30 GM
79,,ACRETIN 0.05% CREAM
80,,ACTI LIFE 20 CAPS
81,,ACTIFAST 12.5mg tab.
82,,ACTIFAST 50MG F.C.TAB.
83,,ACTIFAST 50mg sachets
84,,ACTIFED 12 TAB.
85,,ACTIFED EXPECTORANT  SYRUP
86,,ACTIFED SYRUP
87,,ACTIMAR  50 CAP
88,,ACTIMAXVIT HARD GELATIN CAPS.
89,,ACTIMOXIFLOX 400 MG 5 F.C.TABS.
90,,ACTIVATE 200MG 40 SUGAR COATED TABLET
91,,ACTIVE  CREAM
92,,ACTIVENT 8MG SR 20 CAP.
93,,ACTIVITY 75GRAM MASSAGE CREAM
94,,ACTO-C 60ML MOUTH SPRAY
95,,ACTONEL 35mg once a week f.c.tab.
96,,ACTOS 15MG TAB.
97,,ACTOS 30MG TAB.
98,,ACTOSEB WITH CALCIUM 28 F.C.TAB.(BIPHASI
99,,ACTOWEEK 35 MG F.C.TAB.
100,,ACTOZONE 30mg tab.
101,,ACTOZONE 45mg tab.
102,,ACTRAPID HM 100 I.U./ML 5 PENFILL 3 ML
103,,ACTRAPID HM 100 I.U./ML VIAL 10 ML
104,,ACUCORT 60GRAM CREAM
105,,ACULAR LS 0.4% EYE DROPS
106,,ACYCLOSTAD 5% CREAM 10 GM
107,,ACYCLOVIR 200MG TAB.
108,,ACYCLOVIR 3% eye oint.
109,,ACYCLOVIR 400 STADA 35 TAB.
110,,ACYCLOVIR 5% TOPICAL CREAM
111,,ACYCLOVIR 800 STADA 35 TAB.
112,,ADALAT LA 30MG 30 F.C. TAB.
113,,ADAMAT 250mg caps.
114,,ADAMINE 100MG 20 CAPS.
115,,ADANCOR 10MG 30TABS.
116,,ADANOID 0.1% TOP. GEL
117,,ADANT 25mg/2.5ml intra-articular prefill
118,,ADAPALENE 0.1% GEL
119,,ADAPTAN 250mg/5ml oral solution
120,,ADAPTAN 300MG 10 SOFT GELATIN CAP.
121,,ADAPTAN 400MG 10 SOFT GELATIN CAPS.
122,,ADCOCETINE 1% oint.
123,,ADCOCYCLINE 3% OINT.
124,,ADCOKION 10MG 20 CHEW.TAB.
125,,ADCOKION 10mg/ml amp. For I.M. inj.
126,,ADCOMEX STERILE eye drops
127,,ADCOZOLE 2% topical cream
128,,ADDAMEL N  I.V infusion
129,,ADENO B6 20 F.C.TAB.
130,,ADENOX FORTE f.c tab.
131,,AD-MUC ORAL OINT.
132,,ADOL 500MG 24 CAPLETS
133,,ADOL EXTRA 24 CAPLETS.
134,,ADOL SINUS 24 CAPLETS
135,,ADOLOR 10 MG 20 F.C.TAB.
136,,ADOLOR 15MG 3 AMP.
137,,ADOLOR 30MG 3 AMP
138,,ADRENALINE 1MG AMP.
139,,ADRIBLASTINA R.D 10mg vial.
140,,ADRICIN 10mg/5ml vial 25ml  I.V. inj.
141,,ADRICIN 10mg/5ml vial 5ml  I.V. inj.
142,,ADVANCRIB 400MG F.C. TAB.
143,,ADVIPRO COUGH & COLD SYRUP
144,,ADVOCHOL 10MG 14TABS.
145,,ADVODMONTACE 5mg orally disp. Tabs.
146,,ADWIFLAM 12.5 MG 5 SUPP
147,,ADWIFLAM 25MG CHILDREN SUPP.
148,,ADWIFLAM 50MG E.R.20CAPS.
149,,ADWIFLAM 50MG E.R.CAPS.
150,,ADWIFLAM 75MG 5 SUPP.
151,,ADWIFLAM 75MG/3ML 6 AMP.
152,,ADWIFLAM EMULGEL 50 GM
153,,ADWIFLAM GRANULES IN SACHETS.
154,,ADWIMOVE TOPICAL GEL 20GM
155,,ADWIMOVE TOPICAL GEL 50 GM
156,,ADWINERVE 500MCG CAPS.
157,,ADWINERVE PLUS CAPS.
158,,ADWIPRAZOLE 10mg f.c.tab.
159,,ADWIPRIL 4MG 30TAB.
160,,ADWIVALSAR 160MG  F.C.TAB.
161,,ADWIVALSAR-CO 160/12.5mg scored f.c.tab.
162,,ADWIVALSAR-CO 160/25mg scored f.c.tab.
163,,AERIUS 5MG 20 F.C.TAB.
164,,AERRANE 100% liquid for inhalation
165,,AFRIN 0.05% NASAL SPRAY
166,,AFRIN ADULT 0.5MG/ML NASAL DROPS
167,,AFRIN PEDIATRIC 0.25mg/ml nasal drops
168,,AFTAMED JUNIOR ORAL GEL 15ML
169,,AFTAMED ORAL GEL 15ML
170,,AFTAMED ORAL MOUTH WASH 150ML
171,,AFTAMED ORAL SPRAY 20ML
172,,AFTAMED SHIELD ORAL GEL 10ML
173,,AFTER MEALS 10 CAPS
174,,AFTER MEALS 30CAPS.
175,,AGERA CREAM
176,,AGGRASTAT 12.5mg/50ml I.V.infusion
177,,AGGREX 75MG 60TAB
178,,AGIOLAX 12 GRANULES
179,,AGNUCASTON 20MG 30 F.C.TAB.
180,,AGOVALD  25MG   21TAB
181,,AGRIPPAL S1 vaccine
182,,AIG ALFUZOSIN XR 10mg Extended release f
183,,AIG MINOXIDIL 2% SCALP LOTION
184,,AIG MINOXIDIL 5% SCALP LOTION
